bias,positiveness,negativeness,label
1.0,3133.0,61.0,1.0
1.0,3705.0,444.0,1.0
1.0,3119.0,116.0,1.0
1.0,2975.0,4.0,1.0
1.0,3232.0,226.0,1.0
1.0,3070.0,120.0,1.0
1.0,4054.0,538.0,1.0
1.0,3280.0,278.0,1.0
1.0,656.0,189.0,1.0
1.0,266.0,114.0,1.0
1.0,3128.0,55.0,1.0
1.0,3794.0,718.0,1.0
1.0,4073.0,743.0,1.0
1.0,3193.0,206.0,1.0
1.0,3415.0,262.0,1.0
1.0,1032.0,241.0,1.0
1.0,3198.0,293.0,1.0
1.0,1205.0,249.0,1.0
1.0,3116.0,30.0,1.0
1.0,3647.0,542.0,1.0
1.0,3611.0,344.0,1.0
1.0,3075.0,115.0,1.0
1.0,3119.0,124.0,1.0
1.0,3625.0,447.0,1.0
1.0,3002.0,56.0,1.0
1.0,1074.0,94.0,1.0
1.0,3806.0,974.0,1.0
1.0,3377.0,415.0,1.0
1.0,3218.0,126.0,1.0
1.0,571.0,31.0,1.0
1.0,3001.0,124.0,1.0
1.0,3028.0,87.0,1.0
1.0,2997.0,25.0,1.0
1.0,4785.0,698.0,1.0
1.0,639.0,79.0,1.0
1.0,4073.0,743.0,1.0
1.0,3137.0,79.0,1.0
1.0,663.0,128.0,1.0
1.0,819.0,172.0,1.0
1.0,1067.0,566.0,1.0
1.0,855.0,179.0,1.0
1.0,793.0,169.0,1.0
1.0,3719.0,120.0,1.0
1.0,3498.0,536.0,1.0
1.0,6554.0,338.0,1.0
1.0,1120.0,201.0,1.0
1.0,3525.0,549.0,1.0
1.0,2995.0,42.0,1.0
1.0,3144.0,79.0,1.0
1.0,901.0,289.0,1.0
1.0,3245.0,243.0,1.0
1.0,3133.0,61.0,1.0
1.0,3210.0,291.0,1.0
1.0,754.0,173.0,1.0
1.0,3099.0,77.0,1.0
1.0,2978.0,10.0,1.0
1.0,3417.0,290.0,1.0
1.0,3285.0,172.0,1.0
1.0,6431.0,527.0,1.0
1.0,524.0,0.0,1.0
1.0,2978.0,12.0,1.0
1.0,4073.0,743.0,1.0
1.0,621.0,165.0,1.0
1.0,3320.0,134.0,1.0
1.0,3166.0,392.0,1.0
1.0,2968.0,4.0,1.0
1.0,3014.0,7.0,1.0
1.0,3943.0,445.0,1.0
1.0,3244.0,307.0,1.0
1.0,3128.0,55.0,1.0
1.0,3176.0,126.0,1.0
1.0,3345.0,181.0,1.0
1.0,446.0,135.0,1.0
1.0,1213.0,599.0,1.0
1.0,2964.0,4.0,1.0
1.0,4279.0,608.0,1.0
1.0,1186.0,502.0,1.0
1.0,3611.0,344.0,1.0
1.0,3065.0,102.0,1.0
1.0,2978.0,19.0,1.0
1.0,1045.0,94.0,1.0
1.0,4785.0,698.0,1.0
1.0,928.0,282.0,1.0
1.0,2961.0,3.0,1.0
1.0,3159.0,176.0,1.0
1.0,1148.0,479.0,1.0
1.0,3209.0,208.0,1.0
1.0,3625.0,447.0,1.0
1.0,3069.0,97.0,1.0
1.0,3296.0,130.0,1.0
1.0,3502.0,546.0,1.0
1.0,3137.0,79.0,1.0
1.0,4073.0,743.0,1.0
1.0,3243.0,380.0,1.0
1.0,3097.0,27.0,1.0
1.0,3131.0,144.0,1.0
1.0,608.0,40.0,1.0
1.0,3322.0,405.0,1.0
1.0,3943.0,445.0,1.0
1.0,739.0,151.0,1.0
1.0,625.0,189.0,1.0
1.0,3566.0,535.0,1.0
1.0,3014.0,50.0,1.0
1.0,3243.0,195.0,1.0
1.0,3943.0,445.0,1.0
1.0,3133.0,61.0,1.0
1.0,528.0,2.0,1.0
1.0,3245.0,148.0,1.0
1.0,3226.0,122.0,1.0
1.0,1114.0,112.0,1.0
1.0,3290.0,222.0,1.0
1.0,3201.0,244.0,1.0
1.0,3032.0,10.0,1.0
1.0,3128.0,55.0,1.0
1.0,3516.0,113.0,1.0
1.0,742.0,99.0,1.0
1.0,3348.0,488.0,1.0
1.0,3343.0,201.0,1.0
1.0,4785.0,698.0,1.0
1.0,3240.0,383.0,1.0
1.0,4073.0,743.0,1.0
1.0,4381.0,706.0,1.0
1.0,3540.0,510.0,1.0
1.0,2987.0,15.0,1.0
1.0,3505.0,289.0,1.0
1.0,1102.0,396.0,1.0
1.0,2977.0,13.0,1.0
1.0,3611.0,344.0,1.0
1.0,2963.0,16.0,1.0
1.0,2978.0,5.0,1.0
1.0,3098.0,240.0,1.0
1.0,2979.0,12.0,1.0
1.0,128.0,18.0,1.0
1.0,3139.0,231.0,1.0
1.0,3482.0,96.0,1.0
1.0,3137.0,79.0,1.0
1.0,3002.0,46.0,1.0
1.0,571.0,8.0,1.0
1.0,3095.0,140.0,1.0
1.0,3283.0,374.0,1.0
1.0,2984.0,19.0,1.0
1.0,2963.0,6.0,1.0
1.0,5989.0,55.0,1.0
1.0,901.0,372.0,1.0
1.0,600.0,63.0,1.0
1.0,3163.0,123.0,1.0
1.0,3189.0,110.0,1.0
1.0,4073.0,743.0,1.0
1.0,3696.0,264.0,1.0
1.0,3196.0,190.0,1.0
1.0,3029.0,52.0,1.0
1.0,3055.0,59.0,1.0
1.0,2967.0,16.0,1.0
1.0,3789.0,435.0,1.0
1.0,3133.0,61.0,1.0
1.0,3088.0,114.0,1.0
1.0,3335.0,417.0,1.0
1.0,573.0,248.0,1.0
1.0,4785.0,698.0,1.0
1.0,419.0,150.0,1.0
1.0,3334.0,485.0,1.0
1.0,3153.0,297.0,1.0
1.0,4073.0,743.0,1.0
1.0,3091.0,107.0,1.0
1.0,3128.0,55.0,1.0
1.0,642.0,550.0,1.0
1.0,556.0,96.0,1.0
1.0,819.0,159.0,1.0
1.0,3190.0,292.0,1.0
1.0,3023.0,70.0,1.0
1.0,3212.0,317.0,1.0
1.0,3204.0,83.0,1.0
1.0,3611.0,344.0,1.0
1.0,3245.0,200.0,1.0
1.0,3041.0,46.0,1.0
1.0,4042.0,935.0,1.0
1.0,868.0,327.0,1.0
1.0,555.0,2.0,1.0
1.0,1097.0,104.0,1.0
1.0,4381.0,706.0,1.0
1.0,3038.0,87.0,1.0
1.0,661.0,48.0,1.0
1.0,2993.0,53.0,1.0
1.0,4073.0,743.0,1.0
1.0,3137.0,79.0,1.0
1.0,3943.0,445.0,1.0
1.0,4904.0,1897.0,1.0
1.0,3489.0,106.0,1.0
1.0,3659.0,116.0,1.0
1.0,813.0,230.0,1.0
